;ClueTR;ClueEN
40;Benim gibi yoğun poliklinik ve invaziv işlem yapan bir hekim için bu kanallar çok değerli. Bu dijital kanalçeşitliliği sayesinde neredeyse her hafta farklı platformlarda toplanılar düzenleniyor. Bu toplantıların program detaylarını instagramdan ve maillerimden drekli takip ediyoum ve ilgi alanım olan konular olduğunda çok rahat bir şekilde erişebiliyorum. Böylelikle son gelişmelerden sürekli haberdar oluyorum ve meslektaşlarımdan geri kalmamış oluyorum. Bu da hasta tedavilerime çok olumlu bir şekilde yansıyor. Hastalarımın tedavi memnuniyetleri hem onları hem de beni çok mutlu ediyor;These channels are very valuable for a physician like me who performs busy outpatient clinics and invasive procedures. Thanks to this diversity of digital channels, meetings are held on different platforms almost every week. I follow the program details of these meetings directly on Instagram and my e-mails, and I can easily access them when there are topics that interest me. In this way, I am constantly informed about the latest developments and I do not fall behind my colleagues. This reflects very positively on my patient treatments. My patients' treatment satisfaction makes both them and me very happy.
41;Mesleki gelişimim için dijital toplantı, kongre, sunum ve yayınları takip ediyorum. Katılım sağlayamadığımız kongre veya sempozyumların özet yayınları yada videolarına ulaşabileceğimiz bir sistem bilgiye kılay ulaşmamızı sağlayacaktır. Teknoloji dünyasında bilgiye daha kolay ulaşarak hem zaman kazanmış oluruz hemde en hızlı bilgiyi alarak hayatımıza entegre ederek hastalarımıza sunduğumuz tedaviyi güncel tutmuş oluruz. Bu şekilde hastalarımız mutlu biz mutlu oluruz;I follow digital meetings, congresses, presentations and publications for my professional development. A system where we can access summary publications or videos of congresses or symposiums that we could not attend will enable us to access information easily. By accessing information more easily in the world of technology, we both save time and keep the treatment we offer to our patients up-to-date by getting the fastest information and integrating it into our lives. This way, our patients are happy and we are happy.
42;Hastama geri ödemesiz ürün önerirken ücretli olduğunu fakat aldığında sağlayacağı faydayı belirtiyorum. Ödemesiz ürün önerdiğimde gühastalarımı ikna etmeye çalışmıyorum sadece geri ödemesiz olduğunu ve aldıklarında sağlayacağı belirterek alım kararını hastalarıma bırakıyorum. Benim hekim olarak hastaya en doğru tedaviyi sunmak görevim fakat hastamın o tedaviyi isteyip istemediği ile ilgilenmiyorum. Hastamı ikna etme yoluna giderek kendimi mutsuz edemem.;When I recommend a non-refundable product to my patient, I point out that it is paid but the benefits it will provide when purchased. When I recommend a product that is free of charge, I do not try to convince my patients. I just state that it is non-refundable and that it will be provided when they buy it, and I leave the purchasing decision to my patients. As a physician, it is my duty to offer the most appropriate treatment to the patient, but I am not interested in whether my patient wants that treatment or not. I cannot make myself unhappy by trying to convince my patient.
43;Obezite tedavisinde hastalarımın alım gücü ve enjeksiyon tedavisine yatkın olması önceliğim. Eğer hastam verdiğim ürünü satın alabilecekse ve belirttiğim zaman süresince ürünü kullanarak düzenli takip yapabilecekse hastalarıma tedaviyi veriyorum. Eğer hastam verdiğim ürünü alamayacaksa veya tedaviye uyum sağlayamayacaksa bu klinik açıdan beni mutsuz eder çünkü hasta uyumu obezite tedavisinin önceliğidir.;In obesity treatment, my priority is my patients' purchasing power and their susceptibility to injection treatment. I give the treatment to my patients if they can purchase the product I provide and if they can follow up regularly by using the product for the time I specify. If my patient cannot take the product I give or cannot comply with the treatment, this would make me clinically unhappy because patient compliance is the priority of obesity treatment.
44;Benim gibi yoğun hasta bakan bir hastanede bir hekimin mesleki gelişim için digital kanallar çok uygun oluyor. Fakat bu kanal kullanımlarıda yoğunluktan bazen katılım şartlarını zorluyor. Zaman uygunluğu yakalandığında Canlı yayın toplantıları, canlı vaka toplantılarını izlemek çok keyifli oluyor ve bu toplantılar gelişimize çok katkı sağlıyor. Özellikle bu toplantıların bakit darlıpından izleyememe durumu oldupunda eğer kayıt altına alınırsa akşamları ailemden arta kalan zamanda izlemek çok faydalı oluyor. Bizim gibi cerrahi işlem yapan hekimlerde canlı vaka sunumları, özellikle bölgemiz dışındaki diğer hekimlerden izlemek bizim ufkumuzu geliştiriyor ve bizde buna göre tedavilerimizi şekillendiriyoruz.;Digital channels are very suitable for the professional development of a physician in a hospital like mine, which sees busy patients. However, the intensity of usage of these channels sometimes makes participation conditions difficult. When time is available, it is very enjoyable to watch live broadcast meetings and live case meetings, and these meetings contribute greatly to our development. Especially when I cannot watch these meetings due to financial difficulties, if they are recorded, it is very useful to watch them in the evenings when my family is free. Watching live case presentations from doctors who perform surgical procedures like us, especially from other doctors outside our region, expands our horizons and we shape our treatments accordingly.
45;Açıkçası polikliniğe başvuran hasta sayısı çok fazla ancak bu hastaların sosyo ekonomik yapısı çok düşük. Şehir hastanesinde olmamız sebebiyle geri ödemede olmayan ilaçları çok sık tercih etmemeye çalışıyorum. Ancak başka bir tedavi seçeneği yoksa ve en etkin tedavi seçeneği olarak elimde ödenmeyen de olsa güçlü bir silah varsa bunu elbette kullanıyorum. Hastaları ikna etmek için ekstra çaba sarf etmek gerekiyor, onlara bu hastalıktan ve eşlik ettiği hastalıklardan kurtulmak için TR’de bulunan en etkili tedavi seçeneği olduğunu anlatıyorum. Bu ilacı kullanın sadece faydasını görürsünüz demek yeterli olmuyor. Hasta tarafında kabul görmüyor, sadece ilacı yazıp kullanımını anlatmak. Duyguları da anlamak gerekiyor, bu tip hastaları tedavi ettiğimde bende mesleki anlamda bir şeyleri daha fazla başardığımı düşünüp mutlu oluyorum. Maddi kazançlar günün sonunda ne kadar önemli olursa olsun bir hekimin asıl kazancı mesleki tatminidir.;"Frankly, the number of patients applying to the outpatient clinic is very high, but the socio-economic structure of these patients is very low. Since we are in a city hospital, I try not to choose medicines that are not reimbursed very often. However, if there is no other treatment option and I have a powerful weapon, even if it is not paid, as the most effective treatment option, of course I use it. It is necessary to make extra efforts to convince patients, I explain to them that TR is the most effective treatment option available to get rid of this disease and its accompanying diseases. Just saying ""use this medicine and you will see benefits"" is not enough. It is not accepted by the patient, just prescribing the medicine and explaining its use. It is also necessary to understand the emotions. When I treat such patients, I feel happy and think that I have achieved something more professionally. No matter how important financial gains are at the end of the day, a physician's real gain is professional satisfaction."
46;Dijital kullanımı ile kısıtlı kullanımı olduğu ve fayda sağladığını düşünmüyor.;It has limited use due to digital usage and does not seem to provide any benefit.
47;Hastanın alım gücü önemli.Obezite tedavi için kararlı olan hastalar tedaviye kolay başlıyorlar dolayısıyla bende tedaviye etkin bir ilacın olduğunu anlattığımda ikna oluyorlar.Kısıtlı zamanım olduğı için etkin bir ilaç ve tedaviye hazır bir hasta zamanın ve tedavi başarısını arttırdığı için önemli;The purchasing power of the patient is important. Patients who are determined for obesity treatment start the treatment easily, so they are convinced when I tell them that I have an effective medicine for treatment. Since I have limited time, an effective medicine and a patient who is ready for treatment are important because it increases the time and treatment success.
48;Hastanın tedavi talep etmesi önemli.Ücretli bir ilaç olduğu için hastanın obezite tedavisi isteyerek gelmesi tedaviye başlama kararımı etkiliyor.Fiyat konusunda kısıtlı zamanda hastayı ikna etmek zor olduğu için;It is important for the patient to demand treatment. Since it is a paid medicine, the patient's request for obesity treatment affects my decision to start the treatment. Since it is difficult to convince the patient about the price in a limited time.
49;Devlet hastanesinde çalışan bir asistan olarak kısıtlı kaynaklarım söz konusudur. Dolayısıyla dijital platforma ulaşım sağlamak benim açıdan konforlu bir durumdur. Dolayısıyla burdan edieceğim bilgiler düşündüğüm akademik hayatta hızlı bir yol alacağımı düşünüyorum. Bazen genel bilgilerin yanısıra spesifik bilgilerede ulaşmak benim için çok güzel olacak ve tedavi rejimlerimde daha cesur davranabileceğim.;As an assistant working in a public hospital, I have limited resources. Therefore, accessing the digital platform is a comfortable situation for me. Therefore, I think that the information I will gain from here will make me progress quickly in my academic life. Sometimes it will be very nice for me to have access to specific information as well as general information, and I will be able to be more courageous in my treatment regimens.
